,hour,Temperature,Dew_Point,Humidity,Speed,Gust,Pressure,Precip_Rate,Precip_Accum,UV,Solar,date
0,0,37.0,23.71666666666667,58.083333333333336,0.09166666666666667,1.6500000000000001,30.4225,0.0,0.0,0.0,0.0,2021-01-01
1,1,36.56666666666667,23.691666666666666,59.25,0.225,2.4833333333333334,30.44333333333333,0.0,0.0,0.0,0.0,2021-01-01
2,2,36.05833333333333,23.458333333333332,60.0,0.34166666666666673,3.6,30.46666666666667,0.0,0.0,0.0,0.0,2021-01-01
3,3,35.59166666666666,23.25,60.416666666666664,0.075,0.5833333333333334,30.47583333333333,0.0,0.0,0.0,0.0,2021-01-01
4,4,35.166666666666664,23.291666666666668,61.416666666666664,0.06666666666666667,0.8333333333333334,30.480833333333333,0.0,0.0,0.0,0.0,2021-01-01
5,5,34.75,22.808333333333334,61.25,0.6083333333333334,3.5666666666666664,30.487499999999997,0.0,0.0,0.0,0.0,2021-01-01
6,6,34.30833333333333,22.28333333333333,61.0,0.26666666666666666,2.1416666666666666,30.506666666666664,0.0,0.0,0.0,0.0,2021-01-01
7,7,34.0,21.516666666666666,59.916666666666664,0.5,3.7583333333333333,30.52916666666667,0.0,0.0,0.0,27.583333333333332,2021-01-01
8,8,34.358333333333334,21.058333333333334,57.916666666666664,0.8416666666666667,4.8500000000000005,30.528333333333336,0.0,0.0,0.0,128.66666666666666,2021-01-01
9,9,35.574999999999996,21.974999999999998,57.333333333333336,0.7833333333333333,4.191666666666666,30.535833333333333,0.0,0.0,0.5833333333333334,291.75,2021-01-01
10,10,37.083333333333336,22.05,54.166666666666664,0.4166666666666667,3.125,30.528333333333336,0.0,0.0,1.0,309.8333333333333,2021-01-01
11,11,38.233333333333334,22.008333333333336,51.666666666666664,0.4916666666666667,2.441666666666667,30.492500000000003,0.0,0.0,1.0,151.83333333333334,2021-01-01
12,12,38.59166666666667,22.416666666666668,51.916666666666664,0.7166666666666667,3.608333333333333,30.4475,0.0,0.0,1.0,149.08333333333334,2021-01-01
13,13,39.43333333333333,24.900000000000002,55.833333333333336,0.26666666666666666,2.091666666666667,30.423333333333332,0.0,0.0,0.5,129.33333333333334,2021-01-01
14,14,38.74166666666667,26.724999999999998,61.666666666666664,0.39166666666666666,2.3583333333333334,30.415000000000003,0.0,0.0,0.0,69.66666666666667,2021-01-01
15,15,38.666666666666664,27.116666666666664,62.833333333333336,0.8083333333333335,3.775,30.38,0.0,0.0,0.0,22.25,2021-01-01
16,16,39.05833333333333,28.400000000000002,65.41666666666667,0.016666666666666666,0.3,30.36,0.0016666666666666668,0.0025,0.0,2.0833333333333335,2021-01-01
17,17,38.19166666666667,29.633333333333336,71.16666666666667,0.19166666666666665,1.7749999999999997,30.338333333333335,0.016666666666666666,0.018333333333333333,0.0,0.0,2021-01-01
18,18,37.541666666666664,30.15833333333333,74.5,0.11666666666666668,2.0749999999999997,30.310833333333335,0.016666666666666666,0.03333333333333333,0.0,0.0,2021-01-01
19,19,37.05833333333333,31.175,78.91666666666667,1.7249999999999999,6.858333333333333,30.25583333333333,0.06833333333333334,0.10083333333333333,0.0,0.0,2021-01-01
20,20,37.53333333333334,32.833333333333336,83.25,1.95,4.85,30.21166666666667,0.09916666666666667,0.19583333333333333,0.0,0.0,2021-01-01
21,21,37.69166666666667,35.625,92.33333333333333,4.558333333333334,11.275,30.145,0.2025,0.39749999999999996,0.0,0.0,2021-01-01
22,22,37.175000000000004,35.4,93.0,1.6333333333333335,6.058333333333334,30.10083333333333,0.20666666666666667,0.5891666666666667,0.0,0.0,2021-01-01
23,23,37.4,35.75833333333333,93.91666666666667,3.9499999999999997,10.833333333333334,30.0475,0.10833333333333334,0.6833333333333335,0.0,0.0,2021-01-01
24,0,38.041666666666664,36.425000000000004,94.0,6.083333333333333,13.4,29.995,0.03333333333333333,0.013333333333333334,0.0,0.0,2021-01-02
25,1,36.15833333333334,34.550000000000004,94.08333333333333,7.883333333333333,13.733333333333334,29.93166666666667,0.012499999999999999,0.024166666666666666,0.0,0.0,2021-01-02
26,2,37.43333333333333,36.15833333333333,95.0,6.416666666666667,12.441666666666668,29.864166666666666,0.011666666666666667,0.034999999999999996,0.0,0.0,2021-01-02
27,3,38.56666666666667,37.28333333333334,95.0,4.058333333333334,7.766666666666667,29.829166666666666,0.008333333333333333,0.0425,0.0,0.0,2021-01-02
28,4,39.641666666666666,38.416666666666664,95.0,4.091666666666667,7.55,29.778333333333332,0.008333333333333333,0.05000000000000001,0.0,0.0,2021-01-02
29,5,39.93333333333333,38.699999999999996,95.0,2.183333333333333,4.483333333333333,29.748333333333335,0.0,0.05000000000000001,0.0,0.0,2021-01-02
30,6,39.625,38.4,95.33333333333333,1.9083333333333332,3.1666666666666665,29.763333333333335,0.0,0.05000000000000001,0.0,0.0,2021-01-02
31,7,39.916666666666664,38.78333333333333,95.66666666666667,2.3666666666666667,4.283333333333333,29.775833333333335,0.0,0.05000000000000001,0.0,4.083333333333333,2021-01-02
32,8,40.483333333333334,39.275,95.25,6.666666666666667,12.641666666666666,29.785833333333333,0.0,0.05000000000000001,0.0,123.25,2021-01-02
