,hour,Temperature,Dew_Point,Humidity,Speed,Gust,Pressure,Precip_Rate,Precip_Accum,UV,Solar,date
4486,18,80.20833333333333,58.61666666666667,47.833333333333336,0.0,0.0,30.00583333333333,0.0,0.0,0.6666666666666666,246.5,2022-07-09
4487,19,77.73333333333333,58.63333333333333,52.166666666666664,0.0,0.0,30.015833333333333,0.0,0.0,0.0,74.66666666666667,2022-07-09
4488,20,76.075,56.75,51.25,0.0,0.0,30.0275,0.0,0.0,0.0,6.25,2022-07-09
4489,21,75.325,57.583333333333336,54.166666666666664,0.0,0.0,30.031666666666666,0.0,0.0,0.0,0.0,2022-07-09
4490,22,74.73333333333333,57.96666666666667,56.0,0.0,0.0,30.037499999999998,0.0,0.0,0.0,0.0,2022-07-09
4491,23,74.06666666666666,57.300000000000004,55.916666666666664,0.0,0.0,30.03,0.0,0.0,0.0,0.0,2022-07-09
4492,0,74.25,57.541666666666664,56.083333333333336,0.0,0.0,30.035833333333333,0.0,0.0,0.0,0.0,2022-07-10
4493,1,74.40833333333333,57.86666666666667,56.416666666666664,0.0,0.0,30.03333333333333,0.0,0.0,0.0,0.0,2022-07-10
4494,2,72.15833333333333,51.708333333333336,48.75,0.0,0.0,30.0325,0.0,0.0,0.0,0.0,2022-07-10
4495,3,69.72500000000001,56.44166666666666,62.833333333333336,0.0,0.0,30.044166666666666,0.0,0.0,0.0,0.0,2022-07-10
4496,4,68.26666666666667,59.25833333333333,73.0,0.0,0.0,30.050833333333333,0.0,0.0,0.0,0.0,2022-07-10
4497,5,67.81666666666666,60.15833333333333,76.66666666666667,0.0,0.0,30.06,0.0,0.0,0.0,3.6666666666666665,2022-07-10
4498,6,67.425,53.5,61.75,0.0,0.0,30.079166666666666,0.0,0.0,0.0,84.0,2022-07-10
4499,7,67.325,49.13333333333333,52.0,0.0,0.0,30.089166666666667,0.0,0.0,0.6666666666666666,248.75,2022-07-10
4500,8,68.13333333333334,49.86666666666667,52.25,0.0,0.0,30.094166666666666,0.0,0.0,1.5,425.75,2022-07-10
4501,9,69.425,50.699999999999996,51.416666666666664,0.0,0.0,30.1075,0.0,0.0,2.9166666666666665,589.9166666666666,2022-07-10
4502,10,71.23333333333333,52.708333333333336,52.083333333333336,0.0,0.0,30.11,0.0,0.0,4.5,727.6666666666666,2022-07-10
4503,11,73.06666666666666,52.824999999999996,49.166666666666664,0.0,0.0,30.096666666666668,0.0,0.0,5.75,824.5,2022-07-10
4504,12,75.06666666666666,51.84166666666667,44.25,0.0,0.0,30.08583333333333,0.0,0.0,6.666666666666667,874.5833333333334,2022-07-10
4505,13,76.70833333333333,50.824999999999996,40.583333333333336,0.0,0.0,30.076666666666664,0.0,0.0,6.5,874.1666666666666,2022-07-10
4506,14,78.73333333333333,49.99166666666667,36.75,0.0,0.0,30.0625,0.0,0.0,5.083333333333333,703.0,2022-07-10
4507,15,78.55833333333334,57.78333333333333,49.166666666666664,0.0,0.0,30.049166666666665,0.0,0.0,2.0,190.0,2022-07-10
4508,16,78.77499999999999,58.50833333333333,50.0,0.0,0.0,30.035,0.0,0.0,2.6666666666666665,578.1666666666666,2022-07-10
4509,17,77.86666666666666,57.574999999999996,49.75,0.0,0.0,30.025833333333335,0.0,0.0,1.4166666666666667,403.0,2022-07-10
4510,18,76.375,54.824999999999996,47.25,0.0,0.0,30.010833333333334,0.0,0.0,0.6666666666666666,224.16666666666666,2022-07-10
4511,19,74.58333333333333,54.74166666666667,50.25,0.0,0.0,30.016666666666666,0.0,0.0,0.0,61.833333333333336,2022-07-10
4512,20,72.48333333333333,58.074999999999996,60.666666666666664,0.0,0.0,30.026666666666667,0.0,0.0,0.0,5.416666666666667,2022-07-10
4513,21,71.25,60.39166666666667,68.66666666666667,0.0,0.0,30.0325,0.0,0.0,0.0,0.0,2022-07-10
4514,22,70.99166666666666,60.75,70.16666666666667,0.0,0.0,30.026666666666667,0.0,0.0,0.0,0.0,2022-07-10
4515,23,70.74166666666667,60.550000000000004,70.25,0.0,0.0,30.020833333333332,0.0,0.0,0.0,0.0,2022-07-10
4516,0,70.375,60.625,71.25,0.0,0.0,30.011666666666667,0.0,0.0,0.0,0.0,2022-07-11
4517,1,69.90833333333333,60.89166666666667,72.91666666666667,0.0,0.0,29.996666666666666,0.0,0.0,0.0,0.0,2022-07-11
4518,2,69.46666666666667,60.125,71.91666666666667,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2022-07-11
4519,3,69.225,59.458333333333336,71.0,0.0,0.0,30.004166666666666,0.0,0.0,0.0,0.0,2022-07-11
4520,4,68.77499999999999,58.80833333333334,70.41666666666667,0.0,0.0,30.000833333333333,0.0,0.0,0.0,0.0,2022-07-11
4521,5,68.4,58.041666666666664,69.5,0.0,0.0,29.99416666666667,0.0,0.0,0.0,4.666666666666667,2022-07-11
4522,6,68.72500000000001,58.03333333333333,68.91666666666667,0.0,0.0,29.99083333333333,0.0,0.0,0.0,73.25,2022-07-11
4523,7,70.55833333333334,56.775,61.916666666666664,0.0,0.0,30.0,0.0,0.0,0.75,241.75,2022-07-11
4524,8,72.99166666666666,55.166666666666664,53.833333333333336,0.0,0.0,30.0,0.0,0.0,1.5833333333333333,413.6666666666667,2022-07-11
