,date,hour,Total Passengers,Amount of Trips,Total Distance,Average Distance,Total Fares,day_of_week,Temperature,Dew_Point,Humidity,Speed,Gust,Pressure,Precip_Rate,Precip_Accum,UV,Solar
148,2022-01-06,2,426.0,319,1400.67,4.323055555555555,7717.26,3,41.75,34.0,73.91666666666667,0.0,0.0,29.727500000000003,0.0,0.0,0.0,0.0
150,2022-01-06,3,302.0,225,914.76,3.9772173913043476,4695.12,3,41.208333333333336,32.71666666666667,71.41666666666667,0.0,0.0,29.736666666666665,0.0,0.0,0.0,0.0
152,2022-01-06,4,266.0,196,889.55,4.235952380952381,4495.52,3,41.44166666666667,31.05,66.16666666666667,0.0,0.0,29.75583333333333,0.0,0.0,0.0,0.0
154,2022-01-06,5,578.0,451,2388.11,5.102799145299145,11620.95,3,40.891666666666666,30.025000000000002,64.91666666666667,0.0,0.0,29.794166666666666,0.0,0.0,0.0,0.0
156,2022-01-06,6,1613.0,1256,5253.55,3.9950950570342205,27143.25,3,40.041666666666664,24.583333333333332,53.75,0.0,0.0,29.8225,0.0,0.0,0.0,0.0
158,2022-01-06,7,3381.0,2629,8020.75,2.9208849235251275,47530.15,3,38.958333333333336,21.175,48.583333333333336,0.0,0.0,29.84166666666667,0.0,0.0,0.0,16.0
160,2022-01-06,8,5048.0,3760,139279.7,35.85986096807415,68011.65,3,37.949999999999996,19.916666666666668,47.833333333333336,0.0,0.0,29.875,0.0,0.0,0.0,54.25
162,2022-01-06,9,5345.0,4007,11297.51,2.7622273838630806,70401.16,3,37.775,19.233333333333334,46.833333333333336,0.0,0.0,29.910833333333333,0.0,0.0,0.0,115.5
164,2022-01-06,10,5713.0,4267,11510.22,2.6454194438060217,74295.13,3,37.68333333333333,17.925,44.583333333333336,0.0,0.0,29.929999999999996,0.0,0.0,0.4166666666666667,160.66666666666666
166,2022-01-06,11,6003.0,4414,11108.96,2.47581011811901,74294.06,3,37.75833333333333,16.141666666666666,41.083333333333336,0.0,0.0,29.920833333333334,0.0,0.0,1.0,199.16666666666666
168,2022-01-06,12,6450.0,4707,12510.47,2.6090656934306566,81008.78,3,38.083333333333336,15.325000000000001,39.0,0.0,0.0,29.918333333333337,0.0,0.0,1.0,394.6666666666667
170,2022-01-06,13,6783.0,4969,14785.95,2.925593589236249,91468.81,3,37.63333333333333,14.816666666666668,38.75,0.0,0.0,29.910833333333333,0.0,0.0,1.0,341.0833333333333
172,2022-01-06,14,7586.0,5479,17140.28,3.056943106830747,103384.8,3,38.06666666666667,14.833333333333334,38.166666666666664,0.0,0.0,29.918333333333337,0.0,0.0,0.3333333333333333,310.0
174,2022-01-06,15,8130.0,5837,17871.44,3.0111946082561074,110215.41,3,38.175000000000004,15.799999999999999,39.666666666666664,0.0,0.0,29.91416666666667,0.0,0.0,0.0,144.66666666666666
176,2022-01-06,16,7609.0,5517,16690.17,2.970309663641217,110274.63,3,37.75833333333333,16.158333333333335,41.166666666666664,0.0,0.0,29.933333333333334,0.0,0.0,0.0,14.416666666666666
178,2022-01-06,17,7936.0,5753,46879.98,7.997267144319346,112063.24,3,37.525,16.833333333333332,42.666666666666664,0.0,0.0,29.96083333333333,0.0,0.0,0.0,0.0
180,2022-01-06,18,7829.0,5631,16959.45,2.94383787536886,109413.39,3,36.89166666666667,16.95,43.833333333333336,0.0,0.0,29.977500000000003,0.0,0.0,0.0,0.0
182,2022-01-06,19,6405.0,4645,14508.42,3.060202488926387,88885.75,3,36.34166666666667,17.008333333333333,45.0,0.0,0.0,29.959999999999997,0.0,0.0,0.0,0.0
184,2022-01-06,20,5008.0,3550,12653.78,3.5237482595377334,71445.57,3,36.016666666666666,16.391666666666666,44.333333333333336,0.0,0.0,29.94666666666667,0.0,0.0,0.0,0.0
186,2022-01-06,21,4972.0,3402,12117.44,3.501138399306559,67700.74,3,35.891666666666666,17.125,46.0,0.0,0.0,29.940833333333334,0.0,0.0,0.0,0.0
188,2022-01-06,22,4817.0,3335,11724.24,3.462563496751329,66350.76,3,35.69166666666667,17.983333333333334,48.166666666666664,0.0,0.0,29.926666666666666,0.0,0.0,0.0,0.0
